VENDOR DESCRIPTION,VENDOR ARTICLE NUMBER,IMPA,PRICE
HANHART Labor 3 Countdown Timer 294.4994-00 ,155,174022,24.51
Stainless steel AISI-316 chain 13 x 2 mm. - p/mtr. ,372,231122,2.82
"Wet film coating thickness gauge, aluminium 25-3000 μm ",#06130,270148,12.5
MSA V-Gard safety helmet (white) incl. pushkey suspension ,83400,310101,8.1
MSA V-Gard safety helmet (blue) incl. Staz-on suspension ,83401,310102,8.1
MSA V-Gard safety helmet (green) incl. Staz-on suspension ,83402,310102,9
MSA V-Gard safety helmet (yellow) incl. pushkey suspension ,#08899,310103,10.62
MSA V-Gard safety helmet (orange) incl. pushkey suspension ,#08173,310104,9
MSA Fas-Trac III suspension for V-Gard/Linesman safety helmet - 10126683 (old Fas-Trac II) c/w fixed sweatband,#14717,310122,7.02
"Complete with calibration certificate""",2308,330503,1031.25
"RIKEN OX-03 pocket oxygen detector, range 0-40% VOL with alligator clip ",2393,330507,213
"Range CO2 : 0-10000 ppm""",2239,330509,944.25
"RIKEN HS-03 pocket H2S detector, range 0-100 PPM with alligator clip ",2395,330514,149.25
"RIKEN CO-01 pocket Carbon Monoxide detector, range 0-500 ppm with alligator clip",2207,330515,271.5
BW GasAlert MicroClip XL 4-gas detector for O2/LEL/CO and H2S - MCXL-XWHM-Y complete with calibration certificate,2435,330520,496
GMI PS241 multi gasdetector for HC/O2/H2S/CO - 64041 c/w manual and charger - diffusion sampling complete with calibration certificate,#07934,330520,470
"complete with calibration certificate""",#24804,330520,572.25
"Complete with calibration certificate""",2247,330520,585.75
"Complete with calibration certificate""",2301,330521,2268.75
BW Gas Alert MAX XT II 4-gas detector for O2/LEL/CO and H2S complete with built-in pump complete with calibration certificate,2405,330527,775
"GMI PS241 multi gasdetector for HC/O2/H2S/CO complete with manual, charger and internal pump - 64141 complete with calibration certificate",#10337,330527,560
"range H2S : 0-100 ppm""",2355,330527,1019.25
TIF XP-1A electronic freon leakseeker in transport case (716142) (Old RX-1A),700,330535,228.5
Electronic refrigerant gas leak detector complete with 2 spare sensors in case ,700,330535,88.5
"Complete with calibration certificate""",2270,330537,1451.25
"Complete with calibration certificate""",2299,330537,1781.25
"Range : 0-100% LEL""",2316,330538,1297.5
MSA 5085-805 test tubes Nitrogen Dioxide box 10 pcs. range 0.5-50 ppm,#04297,330541,60.36
MSA 5085-845 test tubes Ammonia box 10 pcs. range 2-600 ppm,#04289,330542,62.53
MSA 5086-814 test tubes Carbon Dioxide box 10 pcs. range 100-3000 ppm,#04290,330543,48.08
MSA 5085-826 test tubes Hydrogen Sulphide box 10 pcs. (old 5085-882 ) range 1-200 ppm,#04291,330544,59.27
MSA 5085-836 test tubes Carbon Monoxide box 10 pcs. range 5-1000 ppm,#04292,330545,60.99
MSA 5085-801 test tubes Chlorine 0.2 box 10 pcs. range 0.2-30 ppm,#22078,330546,60.41
MSA 5085-803 test tubes Sulphur Dioxide box 10 pcs. range 0.5-30 ppm,#04813,330547,67.42
MSA 5085-828 test tubes Toluene box 10 pcs. range 5-1000 ppm,#08726,330550,70.99
"RIKEN SC8000 gasdetector for O3 (ozone), range 0-1 ppm with built-in pump, standard accessories and alkaline batteries",2484,330559,2621.25
DRAGER test tubes Carbon Dioxide 0.1%/a  CH23501 box 10 pcs. (old CH30801) range 0.1-6% VOL,2054,330563,67.75
DRAGER test tubes Natural Gas  CH20001  box 5 pcs. qualitative ,2107,330566,68.75
DRAGER test tubes Carbon Dioxide 100/a-P  6728521  box 10 pcs. range 100-3000 ppm,#04521,330570,99.75
DRAGER extension hose 15 mtr. for Accuro/X-ACT 5000 - 6400079 ,#03267,330578,235
DRAGER extension hose 30 mtr. for X-ACT 5000 - 6401175 ,#02082,330579,502.25
"complete with calibration certificate""",2166,330580,1781.25
"RIKEN sampling system complete for GX111/8000 consisting sampling pipe with hose, sampling device with 20 mtr. hose and fixed base for sampling pipe",#03939_S,330591,644.25
"range H2S : 0-200 ppm""",#04357,330598,895.5
SOLO C3 CO detector testgas 250 ml/tin ,920,331013,23.5
SOLO 424 heat detector tester complete with connection piece for heat detectors up to 90ºC. supply voltage 230 Vac. with 5 mtr. connection cable,937,331071,648
SOLO 423 heat detector tester complete with connection piece for heat detectors up to 90ºc. Supply voltage 110 Vac. with 5 mtr. connection cable,938,331071,628
SOLO 330 smoke detector tester test cup / dispenser - max. 100 mm. ,929,331073,272
Smoke detector tester test cup / dispenser - max. 130 mm. ,4040,331073,186
SOLO A10s smoke detector testgas 250 ml non-flammable ,#28233,331074,42
SOLO A10 smoke detector testgas 150 ml non-flammable (Old SOLO A3),2045,331074,40
Smoke detector testgas 150 ml - non-flammable ,3075,331074,16
SOLO A5 smoke detector testgas 250 ml (flammable) ,2041,331077,15
TESTIFIRE 1001 heat and smoke detector tester with 2 rechargeable battery batons and charger 110-240 Vac 50/60Hz.,943,331080,1494
TESTIFIRE TS3 capsule smoke test ,975,331097,58
"MSA Advantage 200 LS half mask, small - 430357 ",#10346,331121,27.9
"MSA Advantage 200 LS half mask, medium - 430356 ",83801,331122,27.81
BBRAND BB3000 twin filter halfmask - medium ,#12927,331122,8.58
"MSA Advantage 200 LS half mask, large - 151055008 (Old 430358) ",#04416,331123,27.81
"OXXAA Sana earplugs 8011-I, set 250 pair (old 8010-I) - 34 dB ",#09320,331157,30.5
AlcoMate Prestige AL7M replacement sensor for model AL7000 male type - European version,80099,331217,34.88
DRAGER mouthpiece ( set 1000 pcs. ) for model 5510/6510/6810/5820/6820 - 6810830 ,#02089,331219,472
DRAGER Alcotest 6000 breath analyzer - 3706320 (Old  8325200),#16845,331221,805
ALCOMATE Premium model AL7000 Alcohol Breath Analyzer with certificate ,80095_S,331223,78.75
ALCOMATE Premium model AL7000 Alcohol Breath Analyzer with certificate US Coast Guard approval,80098,331228,78.75
"MSA Advantage 3121 full facemask, medium - 10027723 ",#04573,331239,176.22
MSA ear muff left/right 10087399 (yellow) - high ,83920,331258,36
MSA ear muff left/right 10087400 (blue) - high ,83921,331259,36
SOLO 770 battery baton ,#00225,331421,136.5
SOLO 727 charger for SOLO 760 battery baton ,#18015,331422,232
SOLO 108 extension pole 2.5 mtr. - 2 sections ,934,331423,226.2
Extension pole 2.44 mtr. - 2 sections for smoke detector tester (SOLO compatible),4042,331423,209
SOLO 100 extension pole 4.5 mtr. - 4 sections ,935,331424,440
Extension pole 4.88 mtr. - 4 sections for smoke detector tester (SOLO compatible),4043,331424,421
SOLO 101 extension pole 1.13 mtr. - 1 section ,933,331425,114.5
Extension pole 1.22 mtr. - 1 section for smoke detector tester (SOLO compatible),4041,331425,102
MSA 5085-817 test tubes Carbon Dioxide box 10 pcs. range 0.1-7% VOL,#05064,331602,58.33
MSA 5085-827 test tubes Hydrogen Sulphide box 10 pcs. range 100-4000 ppm,#04384,331603,60.97
MSA 5086-846 test tubes Natural Gas box 5 pcs. ,#07868,331605,54.05
MSA 5086-818 test tubes Ethanol box 10 pcs. range 100-6000 ppm,#05206,331607,62.53
MSA 7086-896 test tubes Benzene box 10 pcs. (old 5086-852) range 0.25-10 ppm,#22000,331608,90.87
MSA 5086-835 test tubes Benzene box 10 pcs. range 1-100 ppm,#04463,331609,68.42
MSA 5086-832 test tubes Hexane-20 box 10 pcs. range 20-1000 ppm,#08728,331610,67.69
MSA 5086-815 test tubes Mercaptan box 10 pcs. range 0.5-100 ppm,#04370,331611,88.86
MSA 5086-845 test tubes Methyl Bromide-2 box 5 pcs. range 0.2-100 ppm,#26797,331612,66.07
MSA 5086-838 test tubes Phenol-1 box 10 pcs. range 1-25 ppm,#13189,331613,74.8
MSA 5085-830 test tubes Phosphine box 10 pcs. range 0.1-100 ppm,#06341,331614,66.06
MSA 5086-819 test tubes Styrene-10 box 10 pcs. range 10-300 ppm,#08727,331615,72.05
MSA 5085-837 test tubes Vinyl Chloride box 10 pcs. range 1-70 ppm,#12048,331616,68.01
MSA 5085-824 test tubes Hydrogen Cyanide box 10 pcs. range 2-50 ppm,#08333,331618,65.99
MSA 5085-898 Gasoline 30 test tubes box 10 pcs. range 30-6000 ppm,#09071,331624,66.06
MSA 5086-831 test tubes Propane box 10 pcs. range 200-4000 ppm,#04524,331625,59.51
DRAGER test tubes Acetic Acid 5/a  6722101  box 10 pcs. range 5-80 ppm,2110,331626,86.5
DRAGER test tubes DT Methanol 20/a  8103801 box 10 pcs. (old 8101631) range 20-5000 ppm,2082,331627,99.75
DRAGER test tubes Benzene 2/a  8101231 box 5 pcs. range 2-60 ppm,2056,331630,82.5
DRAGER test tubes Carbon Monoxide 10/b  CH20601 box 10 pcs. (old 8101951) range 10-3000 ppm,2063,331632,67.75
DRAGER test tubes Hexane 10/a  8103681  box 10 pcs. (old 6728391) range 10-2500 ppm,2094,331633,85.75
DRAGER test tubes Hydrogen Sulphide 1/c  6719001 box 10 pcs. range 1-200 ppm,#00290,331634,71.5
DRAGER test tubes Mercaptan 0.1/a  8103281 box 10 pcs. range 0.1-15 ppm,2089,331637,108
DRAGER test tubes Mercaptan 0.5/a  6728981 box 10 pcs. range 0.5-5 ppm,2050,331638,108
DRAGER test tubes Methyl Acrylate 5/a  6728161 box 10 pcs. range 5-200 ppm,#02833,331639,96
DRAGER test tubes Methyl Bromide 0.1/a  3706301 box 10 pcs. (old CH27301) range 0.1-50 ppm,2084,331640,139
DRAGER test tubes Oxygen 5%/C  8103261 box 8 pcs. range 5-23% VOL,#16840,331641,161
